Naam,Geslacht,Specialisme,Praktijk,Stad of Dorp,Provincie,Land,Score,Aantal waarderingen,Latitude,Longitude
"Stor-Reuling, J.",Vrouw,Kinder- en jeugdpsychiatrie,Praktijk Stor,Klarenbeek (gem. Apeldoorn),Gelderland,Nederland,0,0,52.15497,6.03543
"Hulshof, R.L.E.",Vrouw,Onbekend,GGNet Scelta Apeldoorn,Apeldoorn,Gelderland,Nederland,9.2,1,52.23298,6.00799
"Bus, L.E.M.",Vrouw,Onbekend,GGNet Scelta Apeldoorn,Apeldoorn,Gelderland,Nederland,0,0,52.23298,6.00799
"Spijkers, S.H.M.",Vrouw,Onbekend,GGNet Scelta Apeldoorn,Apeldoorn,Gelderland,Nederland,0,0,52.23298,6.00799
"Voorhoeve, J.N.",Man,Onbekend,GGNet Scelta Apeldoorn,Apeldoorn,Gelderland,Nederland,0,0,52.23298,6.00799
"Heinsman-Carlier, E.L.G.",Vrouw,Onbekend,Praktijk Heinsman-Carlier,Apeldoorn,Gelderland,Nederland,5.6,4,52.26372,5.96486
"Berg, A.M. van den",Vrouw,Onbekend,GGz Centraal,Ermelo,Gelderland,Nederland,0,0,52.30684,5.60513
"Luit, G.L. van der",Vrouw,Onbekend,GGz Centraal,Ermelo,Gelderland,Nederland,0,0,52.30684,5.60513
"Smeets-Janssen, M.M.J.",Vrouw,Onbekend,GGz Centraal,Ermelo,Gelderland,Nederland,0,0,52.30684,5.60513
"Sno, H.N.",Man,Onbekend,H.N. Sno,Amsterdam,Noord-Holland,Nederland,2,1,52.35182,4.87545
"Vlietstra-Zock, P.",Vrouw,Kinder- en jeugdpsychiatrie,Praktijk voor Psychoanalyse Vliestra-Zock,Amsterdam,Noord-Holland,Nederland,0,0,52.36299,4.88082
"Logtenberg, S.N.J.",Vrouw,Onbekend,Praktijk Logtenberg,Amsterdam,Noord-Holland,Nederland,0,0,52.36659,4.89574
"Kolman, A.",Man,Kinder- en jeugdpsychiatrie,Praktijk Kolman,Amsterdam,Noord-Holland,Nederland,0,0,52.37178,4.94457
"Amptmeijer, W.",Man,Onbekend,GGZ Heuvelrug,Driebergen-Rijsenburg,Utrecht,Nederland,0,0,52.0561,5.29997
