Naam,Geslacht,Specialisme,Praktijk,Stad of Dorp,Provincie,Land,Score,Aantal waarderingen,Latitude,Longitude
"Zoon, M.",Man,Onbekend,Praktijk voor Psychologie en Psychotherapie de Lindehoeve,Voorschoten,Zuid-Holland,Nederland,0,0,52.12449,4.44682
"Huijs, R.H.W.",Man,Onbekend,GGz Breburg,Breda,Noord-Brabant,Nederland,0,0,51.5672,4.80662
"Halsema, M.",Vrouw,Onbekend,GGZ Noord-Holland-Noord,Schagen,Noord-Holland,Nederland,0,0,52.7816,4.80158
"Gilijamse, K.",Vrouw,Onbekend,GGZ Noord-Holland-Noord,Hoorn,Noord-Holland,Nederland,0,0,52.6486,5.05438
"Smale, M.A.",Vrouw,Kinder- en jeugdpsychologie,GGz Centraal,Ermelo,Gelderland,Nederland,0,0,52.30747,5.60513
"Smid, G.A.",Vrouw,Onbekend,GGz Centraal,Ermelo,Gelderland,Nederland,0,0,52.30747,5.60513
"Galenkamp, G.S.",Vrouw,Onbekend,GGz Centraal,Ermelo,Gelderland,Nederland,0,0,52.30684,5.60513
"Bulduk-Demir, A.",Vrouw,Onbekend,Ensa psychologie & consultatie,Deventer,Overijssel,Nederland,0,0,52.28022,6.16683
"Planje-Spek, A.",Vrouw,Onbekend,Meander Medisch Centrum,Amersfoort,Utrecht,Nederland,0,0,52.17472,5.3709
"Boelema, S.R.",Vrouw,Onbekend,Meander Medisch Centrum,Amersfoort,Utrecht,Nederland,0,0,52.17468,5.37043
"Heeroma, M.",Vrouw,Onbekend,Orthopedagogische Psychologische Praktijk Heeroma,Houten,Utrecht,Nederland,0,0,52.0204,5.17874
"Ekkel, J.",Vrouw,Onbekend,Vocare Arnhem,Arnhem,Gelderland,Nederland,0,0,51.96028,5.8627
"Lauwerijssen, K.",Vrouw,Onbekend,FortaGroep Rotterdam e.o.,Rotterdam,Zuid-Holland,Nederland,0,0,51.95426,4.47111
"Cuijpers, A.T.F.",Vrouw,Onbekend,FortaGroep Rotterdam e.o.,Rotterdam,Zuid-Holland,Nederland,8.5,1,51.95151,4.55754
"Couwenberg, C.",Vrouw,Onbekend,De Cirkel Psychologie,Veghel,Noord-Brabant,Nederland,0,0,51.94053,6.03091
"Rombout, L.",Vrouw,Onbekend,Indigo,Rotterdam,Zuid-Holland,Nederland,0,0,51.92081,4.48719
"Lanser, M.G.",Vrouw,Onbekend,Pro Persona,Tiel,Gelderland,Nederland,9.5,1,51.8888,5.41383
"Szakály-Starke, K.C.D.",Vrouw,Onbekend,Psychologiepraktijk Sensus,Heenvliet,Zuid-Holland,Nederland,0,0,51.86425,4.23897
"Hobbelink, K.M.",Vrouw,Kinder- en jeugdpsychologie,Positieve Psychologie Drimmelen,Made,Noord-Brabant,Nederland,0,0,51.68152,4.78837
"Mol-Hoffman, F.",Vrouw,Onbekend,Hoffman Psychologen,Vught,Noord-Brabant,Nederland,3.8,1,51.64517,5.28334
"Smeets, E.M.T.",Vrouw,Onbekend,De Binnenplaats Tilburg,Tilburg,Noord-Brabant,Nederland,0,0,51.5574,5.08245
"Walravens, M.J.",Man,Onbekend,ReFirmitas,Lienden,Gelderland,Nederland,0,0,51.9429,5.5201
"Berg, E. van den",Vrouw,Onbekend,Amici Zorgt Alkmaar,Alkmaar,Noord-Holland,Nederland,0,0,52.6391,4.72808
"Dierdorp-Schep, M.E.",Vrouw,Onbekend,Ingeborg Douwes Centrum,Amsterdam,Noord-Holland,Nederland,0,0,52.3408,4.85446
"Erven, K.M. van",Vrouw,Onbekend,Mentaal Beter - Tilburg - Generaal Smutslaan,Tilburg,Noord-Brabant,Nederland,0,0,51.5449,5.07956
